,text,cluster
0,begal rajalela jalan krakatau pukul korban masuk rumah sakit,0
1,begal payudara aksi modus bekap remas,0
2,karyawan indomaret korban begal begalmotor walikota,0
3,aksi begal motor satu tewas,0
4,begal medan manuver jalan kota terang terang gerak pagi malam terlalu resiko,0
5,daerah simalingkar begal makin parah seram pulang malam,0
6,banyak begal tidak solusi untk aman kota medan jangan biar sakit,0
7,ikut lokasi rawan begal medan hati hati bung,0
8,liat lihat kemaren banyak berita tipu olshop soal,3
9,bodoh ngakunya bap nyata tipu publik biar lihat keren allah,3
10,lihat kasus tipu marak hati hati beli tiket konser album jangan giur harga,3
11,yarabb tipu macam anjing,3
12,banyak kasus tipu online shop salah satu jual cd kpop kasus tipu on,3
13,modus tipu atasnamakan institusi perintah sobatbkn lebih cerdas mem benar informasi main,3
14,viral tipu arisan online bawa kabur uang m bln,3
15,hati kawan modus tipu via sms,3
16,tipu modus seleksi cpns ibu muda tebing rp juta,3
17,seram begal seram keluar malam buat beli makan,0
18,suami hati hati lho bu banyak modus tipu minta nomer hp lah pin bb lah nomor rekening,3
19,hai adi waspada hadap tindak tipu mengatasnamakan go jek tidak beri,3
20,banyak curi daerah sini was was,2
21,korban curi motor paksa makan korban jiwa,2
22,pergok curi pria hajar babak bur,2
23,curi toko pria hajar mampus,2
24,pura pura sholat eko curi uang kotak amal masjid gadak otak kontol,2
25,bodoh anjeng pacar pria curi hp,2
26,seram beeeet curi ngambil barang sepeda motor si babi parkir indomaret,2
27,syariat qishash tegak bakal mikir laku aksi bunuh,1
28,bunuh area kompleks rumah bukan hp nyata,1
29,simbah darah bekas ceki mayat duga korban bunuh medan,1
30,pasca ungkap komplot laku bunuh usaha airsoft gun jalan ahmad yani saw medan jumlah warga takut aman wilayah pusat toko lengkap olahraga,1
31,motif bunuh zaman lucu bilang lucu tema cinta tema narkoba oke,1
32,btw mantan kapolda sumut y klau tidak salah pernah brita bunuh or bunuh diri gimana tuh endingnya,1
33,klau pendeta bunuh selingkuh senggami mati kamar mandi gereja tidak kamu kabar dasar mahluk kalabong,1
34,lah bicara tanpa data bunuh diri nama tonton puluh juta rakyat indonesia lapor nya masuk polda sumut cuma proses ironis sekali,1
35,lebih baik bunuh antek antek si maringan bahaya minhoo curi tani,2
36,gila emg begal tuh otak mana sampe bunuh ibu hamil lebih parah anak lihat jelas gimana tembak tusuk nya,1
37,polisi tangkap pria kasus tipu kedok pinjam uang,3
38,muzdalifah lapor polisi kasus tipu benar nassar jangan lewat updetan sta,3
39,tangkap polisi akibat laku bunuh wah tragis,1
40,sempat lari polisi tangkap curi sepmor emas milik yusniar batas aceh sumut,2
41,laku curanmor massa dua kawan curi sepeda motor kreta amuk massa jalan belat lurah sidorejo medan tembung kemarin malam nyawa dua selamat berkat sigap polisi kapolsek cut sei tuan kompol,2
42,viral amen jalan siantar,3
43,hahhaha curi sepeda motor gagal satu kampung hajar penyok,2
44,babi untung rek cctv curi taik mampus lu lu curi,2
45,kwkwkwk dasar tipu untung lu tangkap tugas satpam hahhah mampus dahh,3
46,polisi menang aksi tipu internet,3
47,sadiss beut bunuh anak lu hasil tangkap aparat t co rsfges,1
48,terima pesan singkat modus tipu lapor polisi cepat polisi merespon lapor,3
49,gila emg begal tuh otak mana sampe bunuh ibu hamil lebih parah anak lihat jelas gimana tembak tusuk nya allah anak kasihan moga tidak trauma lebih kamu de,1
50,gila begal berani benar bawa pistol segala,0
51,begal main lempar batu atas jembatan jalan tol gila betul,0
52,biadab begal curi basmi bukan manusia,2
53,ken kapoldasu perintah tembak tempat begal rampok tidak tau rawan aman malam,0
54,bayang daerah simpang usu aman begal rajalela situ,0
55,hati kalo ban mobil kamu bocor daerah modus anak usu kena begal mansyur,0
56,ohya kapan drmansyur anak usu kena begal mansyur,0
57,curi ponsel anak sekolah dekat kampus unika dua sangka tangkap warga turut kirim video kfc seti budi sangka jambret ponsel perempuan anak sekolah sma dua curi sebut kejar,2
58,basmi ormas preman pungli mana sumut,4
59,preman parkir liar basmi bonnet dishub tidak tindak,3
60,wah wah benar asal jangan naik lupa sikap sumut perlu pimpin tegas bersih bersih pungli,4
61,djoss yakin atas pungli gubernur sumutmau,4
62,pungli sekolah swasta banyak misal anak sma wr supratman uang bimbel mata ajar sekolah sore hari guru sekolah padahal bos kok kutip uang siswa,4
63,pungli jalan lintas sumatera wilayah camat tanjung pura kabupaten langkat laku pungli sopir truk lintas aceh,4
64,mana pungli oknum ormas pemuda sungguh ironis duga ormas sebut deking oknum polisi akar tahun peras thr,4
65,spsi rajalela minta bayar bongkar muat bukan bongkar sama kuli masuk pungli bang bil,4
66,curi unimed hajar mahasiswa sampe kok,2
67,daerah batas aceh banyak pungli kondisi kan,4
68,cek jalan lintas timur batas riau berapa banyak pungli temu panjang jalan sebut,4
69,makin rawan begal resah bagaimana,0
70,cegah diutamakn terlalu banyak korban begal sendiri korban begal dekat terminal pinang baris tahun keri syukur selamat,0
71,preman begal tukang hipnotis lengkap sini hidupmedan tingkat kriminalitas tinggi,0
72,komplek rumah dulu banyak curi mohon atasinlah,2
73,wah takut keluar malam banyak begal sera,0
74,tidak tau lh wkwk banyak begal padang bulan seram keluar malam malam,0
75,syukur tangkap jaring begal kemaren,0
76,tangkap cur paok pulaknya curi rumah kosong pergok korban kurung kepung warga,2
77,tadi dengar ribut ribut depan rumah takut curi,2
78,curi datang malam malam wkwkwk,2
79,curi teriak curi tangkap libat nampak vidio kok repot jangan lupa korban tinggal tempat,2
80,curi nya tangkap hampir bln adu tidak tanggap serius pihak bri,2
81,kawan sial curi mini market hakim warga aksi pergok,2
82,kenpa hdup kota bnyak berani bohong dusta curi bnyak aaahhh pgn pindaaaaaaaaahhhh,2
83,laporin pungli,4
84,medan tidak aman tidak kota nyaman ubah kota tidak nyaman tindak kriminal mana mana pungli jalan raja lela pasar pasar asai preman anies sandi cuma diam,4
85,wah wah benar asal jangan naik lupa sikap perlu pimpin tegas bersih bersih pungli,4
86,daerah siantar banyak pungli gila,4
87,kkkkkk banyak banyak korupsi pungli waduh mbelader batas bagan batu medan banyak pungli banyak cara modus,4
88,depan kantor polsek medankota pungli jukir liar walaupun kapolres ganti kapolsek,4
89,tugas parkir duga laku pungut liar pungli lokasi parkir pasar,4
90,dagang pasar dame lurah pusat pasar medan resah pungli,4
91,jajar kabinet turun lapang ecek tiap daerah tidak tengkulak or preman pasar suka pungli bermaen harga perintah pusat,4
92,coba bunuh mulu deh masuk drama tidak,1
93,taik pagi pagi tipu udah nelpon transfer atm gojek,3
94,wah wah tipu bejibun,3
95,ekor kes bunuh pandu grab tempoh hari saran provide lindung tiap driver h,1
96,nyoblos pakai nyuruh lihat background agama nah gilir bom bunuh pakai ungkit,1
97,besok rekontruksi bunuh bandar narkoba gelar,1
98,polisi kerja cuma tidur begal mana mana malah tidak diurusin,0
99,tugas benar dokter bukan autopsi mayat amp temu bunuh korban,1
100,bunuh banyak dominasi rasa cemburu,1
101,makin nyata konsep hancur amp bunuh rakyat kecil cara pelan tabung kg tidak subsidi gulir,1
102,polres metro jakbar gelar konperensi pers kait tinggal akibat miras oplos dice,3
103,mati kau curi anjing kena massa mampus,2
104,aoyama gosho suka jahat sempurna bunuh ruang tutup dcfact,1
105,astajim fitnah lebih kejam bunuh,1
106,bunuh karakter mah,1
107,tidak malu curi tweet biar tidak handsome tidak cantik jangan curi pulak sampah masyarakat,2
108,curi sekongkol jatuh satu sama curi tunggal hasil sempurna,2
109,hindar curi kunci pintu rapat rapat lumrah masuk tidak erti bh,2
110,curi kotak infak nyaris tewas gebuk warga,2
111,akibat warga rupa laku curi berat curat menga,2
112,kasat reskrim polrestabes medan informasi abg korban begal tinggal dunia hoax,0
113,asa main twitter buat baik an malah dijahatin sama om om brengsek,3
114,duh driver taksi online hati bang banyak begal laku nekat kejam utungnya begal,0
115,alas ibu larang pulang larut malam alas medan terlalu,3
116,begal makin resah,0
117,gagal gasak motor kelompok begal celurit liar jalan krakatau,0
118,cara teknis begal jalan ambil motor ngambilnya jangan sampe tau punya kira pamer,0
119,jatuh kabur begal massa aksi lapang golf ciperna radar cirebon,0
120,akibat laku begal awat medis rumah sakit bhayangkara makassar sabtu dini,0
121,laku curas sebut nama irsan alias barumbung warga jalan gatot subroto kota makassar ker,3
122,kan kemaren pintu buat yoval tutup rapat minta kunci nya sama calon tuna,3
123,pria korban begal jalan sisimangaraja pasuruan desacikadu,0
124,begal telanjang,0
125,polres metro bekas tangkap begal bacok warga,0
126,buat begal wkwkwk begal hati paansih,0
127,polres metro bekas tangkap begal bacok warga lantai komentar,0
128,golok nancap dada korban duga bunuh berita nusabali bunuh mayat,1
129,banyak laku huru hara sebar jahat banyak laku gaduh bunuh muncul mati m,1
130,curi motor kampus usu makin gilak hati hati gengs,2
131,berapa kata bukan bunuh tetek bengek khalayak minta adriana tahan nap,1
132,rekonstruksi bunuh sadis utan laku tembak gilir,1
133,ekor kes bunuh pandu grab tempoh hari saran provide lindung tiap driver,1
134,bodoh kata bunuh manusia laku tidak mustahil heiji hattori,1
135,ungkap kasus bunuh kawasan desa motif kawin ujung cerai proses cara hukum,1
136,majikan tki adelina tuntut pasal bunuh dunia blog buruh tki,1
