no,text,sentiment
1,begal payudara beraksi di medan modusnya bekap remas,neg
2,karyawan indomaret korban begal begalmotor walikota,neg
3,aksi begal motor satu orang tewas,neg
4,korban begal payudara masih trauma teamfollowback followme,neg
5,korban begal payudara masih trauma,neg
6,penipuan oleh instagram by lisalee,neg
7,wkwkw drama penipuan ini sungguh menarik u d baca sebagai penikmat air kamu ini teh terbaik minggu ini akwkwkwkwkwkk,neg
8,makin banyak keliatan penipuan dan keknya kebanyakan yang kena wannable,neg
10,kalo diliat liat dari kemaren banyak berita penipuan olshop ya apalagi yang soal saya,neg
11,remaja tahun diberkas dalam penipuan aksesori growtopia,neg
12,yup inilah yang paling ditakutkan ada orang yang memanfaatkan momen tren bitcoin untuk penipuan begitu begitu,neg
13,me menceritakan kasus penipuan oleh si mbak hwangable yang mencapai jeti ke mami mami makanya kalo beli albu,neg
14,lokasi daerah indramayu kecamatan sliyeg kampung desa sleman harap berhati modus penipuan berkedok petugas kesehatan puskesmas pen,neg
15,nina zatulini bantu suami klarifikasi kasus penipuan,neg
16,pembodohan aplagi ini ngakunya sudah di bap ternyata penipuan publik lagi biar terlihat keren ya allah tu,neg
17,bocah ingusan bisa nipu juga ternyata,neg
18,sama rawan penipuan album ini ada tips biar tidak kena,neg
19,liat kasus penipuan yang lagi marak hati hati kalo mau beli tiket konser atau album ya jangan tergiur dengan harga,neg
20,antara ayat penipuan paling besar jap tengah siap takda kredit lah tak study pun otw,pos
21,yarabb penipuan macam apa ini,neg
23,ada telepon dari nomor tak dikenal lima detik pertama saya menduga penipuan dan memang benar penipu mengaku di rumah sakit,neg
24,ada banyak kasus penipuan yang terjadi di online shop salah satunya penjualan cd kpop ini dia kasus penipuan on,neg
26,waspada terhadap tindak penipuan yang mengatasnamakan pln pastikan kelengkapan administrasi dan hindari transaksi,neg
27,check out this item i found on lazada xiaomi redmi note a ram gb rom gb banyak peni,neg
28,lalu ketika pt sandipala dilapor ke polisi dg tuduhan penipuan digugat ke pengadilan diancam dibunuh danseterusnya dia melapor ke,neg
30,suami hati hati lho bu sekarang banyak modus penipuan minta nomer hp lah pin bb lah nomor rekening,neg
32,waspada terhadap tindak penipuan yang mengatasnamakan pln pastikan kelengkapan administrasi dan hindari transaksi uang d,neg
33,kaget juga dulu pernah order di dia tapi alhamdulillah nyampe,neg
37,masih ada saja modus penipuan atasnamakan institusi pemerintah sobatbkn sudah lebih cerdas memilah kebenaran informasi jika main,neg
38,itu bukti transfer lapor aja ke polisi biar dibekukan dengan keterangan penipuan dan pr,neg
39,hati penipuan please like and share biar semua tau saya barusan hampir jadi korbannya ada yang nelpon bilang,neg
42,penipuan paling bahaya ialah menipu diri sendiri sedangkan hati tahu ianya salah tapi xendah oleh pemegangnya l,neg
43,barisan nasional sentiasa telus dalam melakukan pilihan raya hanya dap sahaja yang selalu melakukan,neg
48,kalau penipuan sampe juta mah sudah sering banget denger di fandom kpop ini tapi sudah tembus setengah milyar gini bar,neg
52,new post ikut terseret namanya atas kasus penipuan jual beli tanah pernyataan laudya c bella ini bertolak,neg
55,lagi viral penipuan arisan online bawa kabur uang m dalam waktu bln,neg
59,itu kasus penipuan yang lagi heboh buk a k a lala a k a cika dia pegang fanbase banyak ternya,neg
60,btw gaes ini saya salah satu informan yang disebut sama untuk kasus jypnation bangkok yah jadi saya sifatnya,neg
61,penipuan paling jilake time merentas desa member weii nanti kita lari sesama eh hooman okay jangan laju sa,neg
62,buat teman teman yang biasa apply job lewat situs lowongan kerja hati hati ya sekarang banyak modus penipuan berkedok panggilan,neg
63,papi kok terima agen penipuan kaya gini sih,neg
64,video yang d uplod dah di delete username dah d ganti selanjutnyaa paling de aktif ganti baju doang kaya kadal kebon atau me,neg
70,hati hati ya guys obviously uang yang bakal kita keluarin buat bayar tiket itu bakal ditilep sama si assigned tra,neg
71,prosesnya emang mirip panggilan interview biasa ngerti sih kita memang lagi butuh kerja dan kayaknya dipanggil per,neg
73,hati hati ya guys obviously uang yang bakal kita keluarin buat bayar tiket itu bakal ditilep sama si assigned travel agen,neg
76,pendustaan penipuan pembohongan,neg
77,nah aye sepakat banget dah dengan yang diutarakan oleh kita harus waspada penipuan bermodus barang kiriman m,neg
78,pembohongan penipuan pembohongan,neg
82,menolak penawarannya untuk mencegah penipuan yang mengatasnamakan bca mhn informasikan apakah bpk ada memberikan data karena,neg
84,thread penipuan beware yah yang punya thread kronologinya reply aja dikumpulin disini nanti kami bantu retweet,neg
90,hahaha aku okay jer nohal lah dunia ni penuh dengan pancaroba penipuan penindasan judge dan seba,neg
95,kasus penipuan terbesar sepanjang sejarah kpop ada di sini goes to hwangable setara sama kasus korupsi,neg
98,hati kawan modus penipuan lama via sms,neg
99,hati penipuan,neg
101,benar dia bisa dapet hukuman penjara maksimal tahun kak,neg
103,hai adi waspada terhadap tindak penipuan yang mengatasnamakan go jek pastikan anda tidak memberikan,neg
105,harap teman idaman langsung melihat pengumuman undian di media cetak social media dan website turbo dengan memasti,pos
113,benar dia bisa dapet hukuman penjara maksimal tahun kak,neg
115,iyaaa sama denda dia juga keknya bukan kasus penipuan doang deh kak yang dia megang uang donasi juga,neg
117,hati hati upaya penipuan proses rekruitmen dari pihak yang tidak bertanggung jawab website sumber informasi resmi milik bni hanya,neg
119,para pelaku penipuan berhasil diringkus tim gabungan satreskrim morotai dan manado,neg
120,iya dia ada ngadain donasi atas nama fanbase tapi tidak didonasiin katanya sih juta tapi tidak tahu juga itu benar,neg
123,para pelaku penipuan berhasil diringkus tim gabungan satreskrim morotai dan manado,neg
125,itu namanya wakil tidak tahu diri laporkan ke polisi kasus penipuan menipu dengan janji p,neg
126,penipuan harus dilaporin ke polisi ini vernon nya,neg
127,penipuan modus seleksi cpns ibu muda di rembang gondol rp juta,neg
128,penipuan modus seleksi cpns ibu muda di rembang gondol rp juta followme,neg
130,ini ya gua sebarin biar lu sekalian diciduk polisi gua sudah gerah sama kelakuan lu yang janji palsu dan banyak bange,neg
133,penipuan tidak ya,neg
135,mohon perhatian pihak difahamkan ini adalah penipuan,neg
138,mohon perhatian pihak difahamkan ini adalah penipuan,neg
143,lagi rame masalah penipuan olshop ya masih suka tidak habis pikir sama yang suka nipu di olshop itu apalagi sesama kpope,neg
145,dijual akun twitter murah ribuan followers tidak ada unsur penipuan dan aman minat hubungi david jananto recommended,neg
153,jumlah korban penipuan arisan online bertambah polres metro bekasi buka posko pengaduan,neg
154,namun semakin mudahnya kita melakukan transaksi pembayaran semakin mudah juga bagi orang orang yang tidak bertang,neg
155,thank you for sharing with us dr saya juga pernah terkena dengan penipuan dari penjual kosmetik kecantikan apabila saya,neg
158,yelah hwang siapa namanya,neg
159,ada banyak kasus penipuan yang terjadi di online shop salah satunya penjualan cd kpop ini dia kasus penipuan online,neg
160,kasus penipuan online shop pembelian cd kpop yang menghebohkan indonesia hati hati girls cr line today from tr joshua,neg
162,asli sampe heboh wow aku baru tau,pos
164,ya allah gosip anak cyber cyn,neg
165,tapi ternyata ada banyak kasus penipuannya ini girls dan kita harus lebih waspada akan hal ini ini dia kasus peni,neg
166,aduh sampe jatuh itu,neg
167,pernah jadi meskipun seorang calon prajurit itu diterima selama pendidikan tetap dipantau dan digali latar belaka,neg
168,kasus pada februari kemarin warga twitter dihebohkan dengan kasus penipuan online shop yang dilakukan,neg
170,kok joshuanya jungkir balik sih aku salfok kan jadinya,neg
171,puluhan korban penipuan arisan online melapor ke polisi,neg
172,pembahasannyaaaa album nwy ku apa kabar yaa u u,neg
173,ngakak baca thread nya rl nya jilbapan but suka nipu hhhh,neg
175,antara ayat penipuan paling besar jap tengah siap takda kredit lah tak study pun otw,pos
176,wkwkwkwk hwangable ya,neg
177,jadi inget akun tbo aku belum sampe,neg
179,dari kemaren liat drama penipuan yang berhubungan sama beberapa olshop jadi rada was kalo mau order sesuatu apalagi,neg
182,selamat malam maaf mengganggu apakah saya bisa menghapus akun saya karena baru sore tadi saya meng,neg
184,olshop sebelah gadimasukin juga,neg
186,lantai coba cek kolom search twitter standbynuna seventeenuna itu juga sih sudah dari tahun lalu sebenernya ada lagi,neg
188,banjarmasin utara ungkap penipuan online sewa tongkang pelaku dibekuk di kafe di jakarta lewat,neg
189,apa cuma gua yang liatnya sampe muterin layar hp,neg
190,jumlah korban penipuan arisan online bertambah polres metro bekasi buka posko pengaduan,neg
191,wah mba pernah kena dengan modus yang serupa kena tipu,neg
193,walah kl gua kena olshop ownernya namanya k barang gk sampe smp sekarang ada kali jutaan duit gua di dia wkwk penipu anjing,neg
195,wah jaga di jam yang sama ini kita hyung admin mingyu,neg
197,ini penipuan berlabel sni ya,neg
198,pernah jadi meskipun seorang calon prajurit itu diterima selama pendidikan tetap dipantau dan digali latar belakangnya seorang,neg
200,pks piyungan tuh emang licik dan culas awal nya masih pkspiyungan biar kelihatan banyak ngebuka blocknya pks piyun,neg
